Variacoes - JULHO - SETEMBRO,RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
 ACÉM,-2.1999999999999997,-1.0900000000000003,-3.56,-1.9899999999999998,-1.92,0.26000000000000023,0.6599999999999999,0.7200000000000001,2.8200000000000003,-3.57,-0.9800000000000004,-4.58,-2.1900000000000004,-1.3800000000000001
 PEITO,0.0,0.0,0.0,0.0,0.0,0.0,3.8899999999999997,2.78,2.1,0.0,-0.5799999999999998,0.0,-0.39000000000000007,2.26
 CAPA DE FILÉ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2000000000000002,-1.2000000000000002
 COSTELA,-3.2899999999999996,-1.85,0.5599999999999999,3.5400000000000005,-2.99,-0.26,5.62,-0.4,1.71,-6.78,-1.6300000000000001,-5.680000000000001,-1.54,-1.5
 PESCADOS,-2.4899999999999998,-1.4900000000000002,-0.51,-2.46,-3.21,-1.3900000000000006,-5.369999999999999,1.5999999999999999,1.99,1.3399999999999999,4.1899999999999995,-2.3600000000000003,-3.9600000000000004,-2.06
 PEIXE-ANCHOVA,6.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.99
 PEIXE-BADEJO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.66,0.0,2.6599999999999997
 PEIXE-CORVINA,-11.59,0.0,0.0,0.20000000000000018,0.0,0.0,0.0,0.0,1.37,0.0,0.0,0.0,0.0,-2.32
 PEIXE-CAVALINHA,0.0,0.0,0.0,-1.3399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.35
 PEIXE,0.0,-1.4900000000000002,-0.51,0.0,0.0,-1.3900000000000006,0.0,0.0,0.0,1.3399999999999999,4.1899999999999995,0.0,0.0,0.01000000000000012
 PEIXE-SARDINHA,0.0,0.0,0.0,-4.300000000000001,-8.86,0.0,0.0,0.0,-4.619999999999998,0.0,0.0,0.0,12.309999999999999,-6.92
